,full_name,player_id,year,player_age,league,Total_WAR,WAR_bat,WAR_pit,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg
174,Alex Dickerson,543105,2022,32,NL,,,,,,,,,,,,,,,,,,
175,C.J. Abrams,665922,2022,22,NL,,,,,,,,,,,,,,,,,,
176,Curt Casali,592200,2022,33,NL,,,,,,,,,,,,,,,,,,
177,Dee Strange-Gordon,543829,2022,34,NL,,,,,,,,,,,,,,,,,,
178,Riley Adams,656180,2022,26,NL,,,,,,,,,,,,,,,,,,
179,Cole Tucker,657061,2022,25,NL,,,,,,,,,,,,,,,,,,
180,Jace Peterson,607054,2022,32,NL,,,,,,,,,,,,,,,,,,
181,Michael Hermosillo,641684,2022,27,NL,,,,,,,,,,,,,,,,,,
182,Josh VanMeter,642165,2022,27,NL,,,,,,,,,,,,,,,,,,
183,Tommy Pham,502054,2022,34,NL,,,,,,,,,,,,,,,,,,
184,Matt Vierling,663837,2022,25,NL,,,,,,,,,,,,,,,,,,
185,Jonathan Villar,542340,2022,31,NL,,,,,,,,,,,,,,,,,,
186,Manny Pina,444489,2022,35,NL,,,,,,,,,,,,,,,,,,
187,Victor Robles,645302,2022,25,NL,,,,,,,,,,,,,,,,,,
188,Hanser Alberto,593643,2022,29,NL,,,,,,,,,,,,,,,,,,
189,Simon Muzziotti,665650,2022,24,NL,,,,,,,,,,,,,,,,,,
190,Carson Kelly,608348,2022,27,NL,,,,,,,,,,,,,,,,,,
191,Luis Guillorme,641645,2022,27,NL,,,,,,,,,,,,,,,,,,
192,Aramis Garcia,605244,2022,29,NL,,,,,,,,,,,,,,,,,,
193,Lucius Fox,645444,2022,25,NL,,,,,,,,,,,,,,,,,,
194,Payton Henry,668721,2022,25,NL,,,,,,,,,,,,,,,,,,
195,Yonny Hernandez,660634,2022,24,NL,,,,,,,,,,,,,,,,,,
